BUILDING_ID,ADDRESS_POINT_ID,ADDRESS_REFERENCE,PERSONAL_NAME,ORGANISATION_NAME,DEPARTMENT,SUB_BUILDING_NAME,BUILDING_NAME,BUILDING_NUMBER,BUILDING_GROUP_NAME,THOROUGHFARE,SECONDARY_THOROUGHFARE,LOCALITY,SECONDARY_LOCALITY,PRINCIPAL_POST_TOWN,COUNTY,EIRCODE,ADDR_LINE_1,ADDR_LINE_2,ADDR_LINE_3,ADDR_LINE_4,ADDR_LINE_5,ADDR_LINE_6,ADDR_LINE_7,ADDR_LINE_8,ADDR_LINE_9,ADDR_LINE_10,SMALL_AREA_REF,LATITUDE,LONGITUDE
61527391,NULL,6152739100000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,DUNBEGGAN,AUGHNACLIFFE,NULL,LONGFORD,N39FX78,DUNBEGGAN,AUGHNACLIFFE,CO. LONGFORD,N39FX78,NULL,NULL,NULL,NULL,NULL,NULL,137018002,53.8480846949052,-7.59300332326141
61527394,NULL,6152739400000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,CULRAY,AUGHNACLIFFE,NULL,LONGFORD,N39DN25,CULRAY,AUGHNACLIFFE,CO. LONGFORD,N39DN25,NULL,NULL,NULL,NULL,NULL,NULL,137055001,53.8156258378058,-7.5791876029122
61527396,NULL,6152739600000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AGHAKINE,AUGHNACLIFFE,NULL,LONGFORD,N39F206,AGHAKINE,AUGHNACLIFFE,CO. LONGFORD,N39F206,NULL,NULL,NULL,NULL,NULL,NULL,137055001,53.8418728897705,-7.59537579929411
61527441,NULL,6152744100000000,NULL,NULL,NULL,NULL,SYCAMORE COTTAGE,NULL,NULL,NULL,NULL,AGHAMORE LOWER,AUGHNACLIFFE,NULL,LONGFORD,N39DC96,SYCAMORE COTTAGE,AGHAMORE LOWER,AUGHNACLIFFE,CO. LONGFORD,N39DC96,NULL,NULL,NULL,NULL,NULL,137026002,53.8847042962448,-7.6463315104768
61527442,61527443,6152744261527443,NULL,NULL,NULL,NULL,THE RIVER,NULL,NULL,NULL,NULL,RATHMORE,AUGHNACLIFFE,NULL,LONGFORD,N39XH27,THE RIVER,RATHMORE,AUGHNACLIFFE,CO. LONGFORD,N39XH27,NULL,NULL,NULL,NULL,NULL,137007003,53.8476528993469,-7.61041338907765
61527450,NULL,6152745000000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AGHAKINE,AUGHNACLIFFE,NULL,LONGFORD,N39Y002,AGHAKINE,AUGHNACLIFFE,CO. LONGFORD,N39Y002,NULL,NULL,NULL,NULL,NULL,NULL,137055001,53.8372334719758,-7.58930891867097
61510910,NULL,6151091000000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,BARRYMORE,DRUMLISH,NULL,LONGFORD,N39KX76,BARRYMORE,DRUMLISH,CO. LONGFORD,N39KX76,NULL,NULL,NULL,NULL,NULL,NULL,137027002,53.8328641420607,-7.7606601119231
61510943,NULL,6151094300000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,LETTERGULLION,BALLINAMUCK,NULL,LONGFORD,N39FV34,LETTERGULLION,BALLINAMUCK,CO. LONGFORD,N39FV34,NULL,NULL,NULL,NULL,NULL,NULL,137008001,53.8467942165776,-7.71913225492161
61510944,NULL,6151094400000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,LETTERGULLION,BALLINAMUCK,NULL,LONGFORD,N39VF51,LETTERGULLION,BALLINAMUCK,CO. LONGFORD,N39VF51,NULL,NULL,NULL,NULL,NULL,NULL,137008001,53.8470555002671,-7.72040887551436
61510952,NULL,6151095200000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TASHINNY GLEBE,COLEHILL,NULL,LONGFORD,N39X725,TASHINNY GLEBE,COLEHILL,CO. LONGFORD,N39X725,NULL,NULL,NULL,NULL,NULL,NULL,137025001,53.6142766789881,-7.71742570005793
